absent near-centre frames 1925
20523 angle=18.5 r=0.457 p11=1.7778 esg_row=1
20524 angle=18.6 r=0.460 p11=1.7778 esg_row=1
20525 angle=18.8 r=0.464 p11=1.7778 esg_row=1
20526 angle=18.9 r=0.466 p11=1.7778 esg_row=1
20527 angle=19.0 r=0.470 p11=1.7778 esg_row=1
20528 angle=19.1 r=0.472 p11=1.7778 esg_row=1
20529 angle=19.2 r=0.475 p11=1.7778 esg_row=1
20530 angle=19.3 r=0.477 p11=1.7778 esg_row=1
20531 angle=19.1 r=0.482 p11=1.7778 esg_row=1
20532 angle=18.5 r=0.489 p11=1.7778 esg_row=1
20537 angle=16.3 r=0.509 p11=1.7778 esg_row=1
20538 angle=16.2 r=0.512 p11=1.7778 esg_row=1
20539 angle=16.1 r=0.515 p11=1.7778 esg_row=1
20540 angle=16.3 r=0.518 p11=1.7778 esg_row=1
20546 angle=20.1 r=0.547 p11=1.7778 esg_row=1
20547 angle=21.1 r=0.554 p11=1.7778 esg_row=1
24758 angle=20.2 r=0.646 p11=1.7778 esg_row=1
24759 angle=20.2 r=0.646 p11=1.7778 esg_row=1
24760 angle=20.2 r=0.646 p11=1.7778 esg_row=1
24761 angle=20.2 r=0.646 p11=1.7778 esg_row=1
24762 angle=20.2 r=0.646 p11=1.7778 esg_row=1
24763 angle=20.2 r=0.646 p11=1.7778 esg_row=1
24764 angle=20.2 r=0.646 p11=1.7778 esg_row=1
25230 angle=24.8 r=0.816 p11=1.7778 esg_row=1
25231 angle=24.1 r=0.795 p11=1.7778 esg_row=1
25232 angle=23.6 r=0.777 p11=1.7778 esg_row=1
25233 angle=23.1 r=0.759 p11=1.7778 esg_row=1
25234 angle=22.6 r=0.740 p11=1.7778 esg_row=1
25235 angle=22.2 r=0.722 p11=1.7778 esg_row=1
25236 angle=21.8 r=0.704 p11=1.7778 esg_row=1
25237 angle=21.5 r=0.685 p11=1.7778 esg_row=1
25238 angle=21.2 r=0.668 p11=1.7778 esg_row=1
25239 angle=21.0 r=0.651 p11=1.7778 esg_row=1
25240 angle=20.9 r=0.636 p11=1.7778 esg_row=1
25241 angle=20.8 r=0.622 p11=1.7778 esg_row=1
25242 angle=20.8 r=0.607 p11=1.7778 esg_row=1
25243 angle=20.8 r=0.594 p11=1.7778 esg_row=1
25244 angle=20.8 r=0.580 p11=1.7778 esg_row=1
25245 angle=20.9 r=0.567 p11=1.7778 esg_row=1
25246 angle=21.0 r=0.556 p11=1.7778 esg_row=1
25247 angle=21.1 r=0.544 p11=1.7778 esg_row=1
25248 angle=21.2 r=0.534 p11=1.7778 esg_row=1
25249 angle=21.3 r=0.525 p11=1.7778 esg_row=1
25250 angle=21.4 r=0.517 p11=1.7778 esg_row=1
25251 angle=21.5 r=0.509 p11=1.7778 esg_row=1
25252 angle=21.6 r=0.501 p11=1.7778 esg_row=1
25253 angle=21.6 r=0.493 p11=1.7778 esg_row=1
